stem_id,concept_skill,standard_code,n_nodes,node_ids
ANG,"Classify angles, and draw angles made of perpendicular lines",4.G.A.1,2,ANG-0010; ANG-0011
ANG,"Classify angles, and draw angles made of perpendicular lines",CA.4.G.1,2,ANG-0010; ANG-0011
ANG,"Classify angles, and draw angles made of perpendicular lines",GA.3.GSR.6.1,2,ANG-0010; ANG-0011
ANG,"Classify angles, and draw angles made of perpendicular lines",ND.3.GM.G.1,2,ANG-0010; ANG-0011
ANG,"Classify angles, and draw angles made of perpendicular lines",OK.3.GM.1.3,2,ANG-0010; ANG-0011
ANG,"Classify angles, and draw angles made of perpendicular lines",SC.3.MGSR.3.1,2,ANG-0010; ANG-0011
ANG,Compare corners and identify square corners,1.G.A.1,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,2.G.A.1,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,CA.1.G.1,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,CA.2.G.1,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,CA.K.G.4,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,K.G.B.4,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,SC.1.MGSR.2.5,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,VA.2.MG.4.b,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,VA.2.MG.4.d,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,VA.3.MG.4.e,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,VA.4.MG.5.d.ii,2,ANG-0002; ANG-0003
ANG,Compare corners and identify square corners,VA.4.MG.6.c,2,ANG-0002; ANG-0003
ANG,"Identify, draw, and name angles, points, lines, line segments, and rays.",4.G.A.1,2,ANG-0004; ANG-0005
ANG,"Identify, draw, and name angles, points, lines, line segments, and rays.",CA.4.G.A.1,2,ANG-0004; ANG-0005
ANG,"Identify, draw, and name angles, points, lines, line segments, and rays.",TX.4.6A,2,ANG-0004; ANG-0005
ANG,Measure and draw angles by using a protractor,4.MD.C.6,2,ANG-0008; ANG-0009
ANG,Measure and draw angles by using a protractor,FL.4.GR.1.2,2,ANG-0008; ANG-0009
ANG,Measure and draw angles by using a protractor,OK.5.GM.3.1,2,ANG-0008; ANG-0009
ANG,Measure and draw angles by using a protractor,VA.5.MG.3.e,2,ANG-0008; ANG-0009
ANG,Relate an angle to a fraction of a complete turn through a circle and write an angle measure using degrees,4.MD.C.5.a,2,ANG-0006; ANG-0007
ANG,Relate an angle to a fraction of a complete turn through a circle and write an angle measure using degrees,NE.4.G.2.b,2,ANG-0006; ANG-0007
COM,Identify and use ordinal numbers.,AK.1.CC.2,2,COM-0001; COM-0002
COM,Identify and use ordinal numbers.,AR.K.NPV.3,2,COM-0001; COM-0002
COM,Identify and use ordinal numbers.,CO.PK.CC.D.8,2,COM-0001; COM-0002
COM,Identify and use ordinal numbers.,FL.K.NSO.1.3,2,COM-0001; COM-0002
COM,Identify and use ordinal numbers.,IN.1.NS.3,2,COM-0001; COM-0002
COM,Identify and use ordinal numbers.,NY.K.CC.4.d,2,COM-0001; COM-0002
COM,Identify and use ordinal numbers.,SD.PK.CD-4.i,2,COM-0001; COM-0002
COM,Identify and use ordinal numbers.,VA.1.MG.3.h,2,COM-0001; COM-0002
COM,"Order and compare sets, lengths, and numerals.",K.CC.A.2,2,COM-0005; COM-0007
COU,Count and count out groups of more than 10 objects. (Megan-DONE),CA.K.CC.5,2,COU-0007; COU-0009
COU,Count and count out groups of more than 10 objects. (Megan-DONE),FL.K.NSO.1.1,2,COU-0007; COU-0008
COU,Count and count out groups of more than 10 objects. (Megan-DONE),K.CC.B.5,2,COU-0007; COU-0009
COU,Count and count out groups of more than 10 objects. (Megan-DONE),TX.K.2A,2,COU-0007; COU-0009
