source_file,concept_skill,node_text,label,attached_to,fragment
MH2_PK5_Measurement and Data_Angles.docx,"Identify, draw, and name angles, points, lines, line segments, and rays.","Identify, draw, and name points, lines, line segments, and rays.",partial,IN.3.G.2,-partially tagged. Does not include rays in standard
MH2_PK5_Measurement and Data_Angles.docx,Relate an angle to a fraction of a complete turn through a circle and write an angle measure using degrees,Relate an angle to a fractional turn through a circle.,unclassified,,Clocks
MH2_PK5_Measurement and Data_Angles.docx,"Classify angles, and draw angles made of perpendicular lines",Classify angles by their degree measures.,unclassified,FL.4.GR.1.1,(includes reflex)
MH2_PK5_Measurement and Data_Time.docx,Describe and compare the durations of commonplace activities.,Describe and compare time intervals.,unclassified,WI.PK.B.EL.5,not numbered
MH2_PK5_Measurement and Data_Time.docx,Describe and compare the durations of commonplace activities.,Order events in time and describe their positions.,unclassified,WI.PK.B.EL.5,not numbered
MH2_PK5_Measurement and Data_Time.docx,Classify times as moments or durations and label both on a timeline,Classify times as moments in time or durations of time.,unclassified,GA.PK.CD-MA,3.4d
MH2_PK5_Measurement and Data_Time.docx,Measure durations with a timing tool and estimate durations with time benchmarks.,Measure the duration of an activity with a timing tool.,provenance,,"In EM2, this work is noted as being foundational to"
MH2_PK5_Measurement and Data_Time.docx,Measure durations with a timing tool and estimate durations with time benchmarks.,Estimate durations by using time benchmarks and determine whether estimated durations are reasonable.,provenance,,"In EM2, this work is noted as being foundational to"
MH2_PK5_Measurement and Data_Time.docx,Tell and write time to the nearest minute.,Tell and write time to the nearest minute.,unclassified,PA.M04.D-M.1.1.4,(identify time as the amount of minutes before or after the hour)
MH2_PK5_Measurement and Data_Time.docx,Represent and solve elapsed time problems by using the number line.,Represent and solve elapsed time problems by using the number line.,unclassified,TX.3.7C,"(problems can include adding time intervals in minutes, unknown end time, or unknown start time; can’t include unknown elapsed time)"
MH2_PK5_Measurement and Data_Time.docx,Represent and solve elapsed time problems by using the number line.,Represent and solve elapsed time problems by using the number line.,exceeds,AK.4.MD.4,(specifies across time zones)
MH2_PK5_Measurement and Data_Time.docx,Represent and solve elapsed time problems by using the number line.,Represent and solve elapsed time problems by using the number line.,exceeds,AK.5.MD.2,(specifies across world time zones)
MH2_PK5_Measurement and Data_Time.docx,Represent and solve elapsed time problems by using the number line.,Represent and solve elapsed time problems by using the number line.,scope,MD.2.GR.C.8,(limited to hour and half hour)
MH2_PK5_Measurement and Data_Time.docx,Represent and solve elapsed time problems by using the number line.,Represent and solve elapsed time problems by using the number line.,scope,ND.3.GM.M.4,(limited to hour and half hour)
