state,grade,code,description
AK,1,AK.1.CC.1,Skip count by 2s and 5s.
AK,1,AK.1.CC.2,"Use ordinal numbers correctly when identifying object position (e.g., first, second, third, etc.)."
AK,1,AK.1.CC.3,Order numbers from 1–100. Demonstrate ability in counting forward and backward.
AK,1,AK.1.CC.4,Count a large quantity of objects by grouping into 10s and counting by 10s and 1s to find the quantity.
AK,1,AK.1.CC.5,"Use the symbols for greater than, less than or equal to when comparing two numbers or groups of objects."
AK,1,AK.1.CC.6,Estimate how many and how much in a given set to 20 and then verify estimate by counting.
AK,1,AK.1.G.1,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes. Identify shapes that have non-defining attributes (e.g., color, orientation, overall size). Build and draw shapes given specified attributes."
AK,1,AK.1.G.2,"Compose (put together) two-dimensional or three-dimensional shapes to create a larger, composite shape, and compose new shapes from the composite shape."
AK,1,AK.1.G.3,"Partition circles and rectangles into two and four equal shares. Describe the shares using the words, halves, fourths, and quarters and phrases half of, fourth of and quarter of. Describe the whole as two of or four of the shares. Understand for these examples that decomposing (break apart) into more equal shares creates smaller shares."
AK,1,AK.1.MD.1,Measure and compare three objects using standard or non-standard units.
AK,1,AK.1.MD.2,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps."
AK,1,AK.1.MD.3,Tell and write time in half hours using both analog and digital clocks.
AK,1,AK.1.MD.4,"Read a calendar distinguishing yesterday, today and tomorrow. Read and write a date."
AK,1,AK.1.MD.5,Recognize and read money symbols including $ and ¢.
AK,1,AK.1.MD.6,"Identify values of coins (e.g., nickel = 5 cents, quarter = 25 cents). Identify equivalent values of coins up to $1 (e.g., 5 pennies = 1 nickel, 5 nickels = 1 quarter)."
AK,1,AK.1.MD.7,"Organize, represent and interpret data with up to three categories. Ask and answer comparison and quantity questions about the data."
AK,1,AK.1.NBT.1,"Count to 120. In this range, read, write and order numerals and represent a number of objects with a written numeral."
AK,1,AK.1.NBT.2,Model and identify place value positions of two digit numbers. Include:
AK,1,AK.1.NBT.2.a,"10 can be thought of as a bundle of ten ones, called a ""ten."""
AK,1,AK.1.NBT.2.b,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight or nine ones."
AK,1,AK.1.NBT.2.c,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90, refer to one, two, three, four, five, six, seven, eight or nine tens (and 0 ones)."
AK,1,AK.1.NBT.3,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, <."
AK,1,AK.1.NBT.4,"Add using numbers up to 100 including adding a two-digit number and a one-digit number and adding a two-digit number and a multiple of 10. 
Use: concrete models or drawings and strategies based on place value, properties of operations, and/or relationship between addition and subtraction. 
Relate the strategy to a written method and explain the reasoning used. 
Demonstrate in adding two-digit numbers, tens and tens are added, ones and ones are added and sometimes it is necessary to compose a ten from ten ones."
