Rows where neither concept_standards nor the category route named any
stem (§5 rule 6). Ruled: surfaced here, not chased (session brief §8).

952 rows.

band   sheet                        code                
6_9    CCSS                         6.EE.C.9
6_9    CCSS                         6.G.A.1
6_9    CCSS                         6.G.A.2
6_9    CCSS                         6.G.A.4
6_9    CCSS                         6.NS.A.1
6_9    CCSS                         6.NS.B.2
6_9    CCSS                         6.NS.B.3
6_9    CCSS                         6.NS.C.7
6_9    CCSS                         6.NS.C.7.d
6_9    CCSS                         6.RP.A.1
6_9    CCSS                         6.RP.A.2
6_9    CCSS                         6.RP.A.3
6_9    CCSS                         6.RP.A.3.a
6_9    CCSS                         6.RP.A.3.b
6_9    CCSS                         6.RP.A.3.d
6_9    CCSS                         6.SP.A.1
6_9    CCSS                         6.SP.A.2
6_9    CCSS                         6.SP.A.3
6_9    CCSS                         6.SP.B.4
6_9    CCSS                         6.SP.B.5
6_9    CCSS                         6.SP.B.5.a
6_9    CCSS                         6.SP.B.5.b
6_9    CCSS                         6.SP.B.5.c
6_9    CCSS                         6.SP.B.5.d
6_9    CCSS                         7.G.A.1
6_9    CCSS                         7.G.A.3
6_9    CCSS                         7.G.B.4
6_9    CCSS                         7.G.B.6
6_9    CCSS                         7.NS.A.1
6_9    CCSS                         7.RP.A.1
6_9    CCSS                         7.RP.A.2
6_9    CCSS                         7.RP.A.2.a
6_9    CCSS                         7.RP.A.2.b
6_9    CCSS                         7.RP.A.2.c
6_9    CCSS                         7.RP.A.2.d
6_9    CCSS                         7.SP.A.1
6_9    CCSS                         7.SP.A.2
6_9    CCSS                         7.SP.B.3
6_9    CCSS                         7.SP.B.4
6_9    CCSS                         8.EE.A.3
6_9    CCSS                         8.EE.A.4
6_9    CCSS                         8.EE.C.7.a
6_9    CCSS                         8.EE.C.7.b
6_9    CCSS                         8.EE.C.8
6_9    CCSS                         8.F.A.2
6_9    CCSS                         8.G.A.1
6_9    CCSS                         8.G.A.1.a
6_9    CCSS                         8.G.A.1.b
6_9    CCSS                         8.G.A.1.c
6_9    CCSS                         8.G.A.2
6_9    CCSS                         8.G.A.3
6_9    CCSS                         8.G.A.4
6_9    CCSS                         8.G.C.9
6_9    CCSS                         8.SP.A.1
6_9    CCSS                         8.SP.A.2
6_9    CCSS                         8.SP.A.3
6_9    CCSS                         8.SP.A.4
6_9    California-not CCSS          CA.7-12.A-REI.3.1
6_9    Florida                      FL.6.AR.3.1
6_9    Florida                      FL.6.AR.3.2
6_9    Florida                      FL.6.AR.3.3
6_9    Florida                      FL.6.AR.3.5
6_9    Florida                      FL.6.DP.1.1
6_9    Florida                      FL.6.DP.1.2
6_9    Florida                      FL.6.DP.1.3
6_9    Florida                      FL.6.DP.1.4
6_9    Florida                      FL.6.DP.1.5
6_9    Florida                      FL.6.DP.1.6
6_9    Florida                      FL.6.GR.2.1
6_9    Florida                      FL.6.GR.2.2
6_9    Florida                      FL.6.GR.2.3
6_9    Florida                      FL.6.GR.2.4
6_9    Florida                      FL.6.NSO.2.1
6_9    Florida                      FL.6.NSO.2.2
