state,grade,code,description
AK,1,AK.1.CC.2,"Use ordinal numbers correctly when identifying object position (e.g., first, second, third, etc.)."
AK,1,AK.1.CC.3,Order numbers from 1–100. Demonstrate ability in counting forward and backward.
AK,PK,AK.PK.34.12,"Verbally count beyond 20, demonstrating an understanding of the number pattern."
AK,PK,AK.PK.35.6,Build block buildings and include such structural features as arches and ramps.
AL,1,AL.1.NBT.10.a,"Count forward and backward by ones, starting at any number less than 120."
AL,K,AL.K.FC.1,Count forward orally from 0 to 100 by ones and by tens. Count backward orally from 10 to 0 by ones.
AL,PK,AL.PK.MAT4aOP-4,Show a beginning awareness of the concept of time as a sequence of events.
AR,K,AR.K.NPV.3,"Identify the position of objects in a set using ordinal numbers (first, second, third, etc.)."
AZ,5,AZ.5.OA.B.4,Understand primes have only two factors and decompose numbers into prime factors.
CA,2,CA.2.NBT.7.1,Use estimation strategies to make reasonable estimates in problem solving.
CA,5,CA.5.OA.2.1,Express a whole number in the range 2-50 as a product of its prime factors.
CA,K,CA.K.CC.6,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies."
CO,PK,CO.PK.CC.D.8,Identify and use numbers related to order or position from first to fifth.
FL,1,FL.1.NSO.1.1,"Starting at a given number, count forward and backwards within 120 by ones. Skip count by 2s to 20 and by 5s to 100."
FL,2,FL.2.NSO.1.3,"Plot, order and compare whole numbers up to 1,000."
FL,4,FL.4.M.1.2,"Convert within a single system of measurement using the units: yards, feet, inches; kilometers, meters, centimeters, millimeters; pounds, ounces; kilograms, grams; gallons, quarts, pints, cups; liter, milliliter; and hours, minutes, seconds."
FL,4,FL.4.M.2.1,Solve two-step real-world problems involving distances and intervals of time using any combination of the four operations.
FL,4,FL.4.NSO.2.1,Recall multiplication facts with factors up to 12 and related division facts with automaticity.
FL,K,FL.K.NSO.1.3,"Identify positions of objects within a sequence using the words “first,” “second,” “third,” “fourth” or “fifth.”"
FL,K,FL.K.NSO.1.4,"Compare the number of objects from 0 to 20 in two groups using the terms less than, equal to or greater than."
GA,4,GA.4.MDR.6.1,"Use the four operations to solve problems involving elapsed time to the nearest minute, intervals of time, metric measurements of liquid volumes, lengths, distances, and masses of objects, including problems involving fractions with like denominators, and also problems that require expressing measurements given in a larger unit in terms of a smaller unit, and expressing a smaller unit in terms of a larger unit based on the idea of equivalence."
GA,PK,GA.PK.CD-MA3.4d,Associates and describes the passage of time with actual events.
GA,PK,GA.PK.CD-MA7.4a,Estimates using mathematical terms and understands how to check the estimate.
IA,2,IA.2.MD.C.IA.1,"Describe the relationship among standard units of time: minutes, hours, days, weeks, months, and years"
IA,PK,IA.PK.7.4.PS.6,"The child develops an awareness of simple time concepts within his or her daily life such as day, night; and sequence of usual daily events, such as breakfast, lunch, dinner, bedtime; outdoor time follows snack; and brushing teeth after a meal."
IA,PK,IA.PK.7.5.PS.3,"The child compares and orders such as most to least, same amount as, and least to most."
ID,K,ID.K.CC.A.2,"Starting at a given number, count forward within 100 and backward within 20."
IN,1,IN.1.NS.3,"Match the ordinal numbers (e.g., first, second, third) with an ordered set of up to 20 items."
IN,2,IN.2.M.5,"Describe relationships of time, including seconds in a minute; minutes in an hour; hours in a day; days in a week; and days, weeks, and months in a year."
IN,5,IN.5.NS.1,"Use a number line to compare and order fractions, mixed numbers, and decimals to thousandths. Write the results using >, =, and < symbols."
IN,K,IN.K.M.2,"Identify and use appropriate terms to describe intervals of time including: morning, afternoon, evening, today, yesterday, tomorrow, day, week, month, and year; describe how calendars and clocks are tools to measure time."
IN,PK,IN.PK.M1.3,Demonstrate the understanding of the concept of before.
KY,K,KY.K.CC.1.b,Count backwards from 30 by ones.
KY,PK,KY.PK.1.4.4,Shows awareness of simple time concepts.
KY,PK,KY.PK.1.4.5,Demonstrates understanding of the sequence of events and relative length of time associated with some common activities.
MA,4,MA.4.OA.A.3.a,Know multiplication facts and related division facts through 12 × 12.
MD,1,MD.1.GR.C.5,"Tell time in hours, half hours, and quarter hours using a digital clock or analog clock. Estimate time intervals (1 hour, 30 minutes, 15 minutes, 1 minute) for activities (e.g., sharpen pencil, soccer game, etc.)"
MD,1,MD.1.NOS.B.6,"Estimate the location of numbers on a number line by reasoning about their relationship to benchmark numbers (e.g. 10, 50, 100)."
MD,2,MD.2.NOS.A.2.a,"Skip-count forward and backwards by 2s, 5s, 10s, and 100s."
MD,2,MD.2.NOS.A.5,"Estimate quantities by reasoning about their location on a number line, their relationship to benchmark numbers (e.g. 10, 50, 100), and to assess reasonableness of sums and differences."
MD,K,MD.K.NOS.B.8,Recognize the number of objects in a set without counting (subitizing) with both unfamiliar patterns and familiar patterns within 6
MD,PK,MD.PK.NOS.A.2,Count backward from 10 by ones
MN,1,MN.1.3.5.1,Count collections of objects up to 120 using groups of 5s or 10s.
MN,4,MN.4.3.5.5,"Fluently multiply two numbers from 0 to 12 using flexible strategies based on the associative, commutative and distributive properties of multiplication."
MN,PK,MN.PK.M1.14,"Recites number word aloud, forward, up to at least 29 (allow for some mistakes), without objects"
