node_id,stem_id,concept_skill,node_text,kind,state_codes
ANG-0001,ANG,Make and describe turns),Make and describe turns.,state codes only,AK.PK.35.6; MD.1.GR.C.5; MN.PK.M11.7; MN.PK.M11.8; MT.PK.4.14.h
COM-0001,COM,Identify and use ordinal numbers.,Use the words first and second to describe objects’ positions in a sequence.,absence assertion,AK.1.CC.2; AR.K.NPV.3; CO.PK.CC.D.8; FL.K.NSO.1.3; IN.1.NS.3; IN.PK.M1.3; NY.K.CC.4.d; OK.K.N.1.3; SD.PK.CD-4.i; VA.1.MG.3.h
COM-0002,COM,Identify and use ordinal numbers.,Use the ordinal numbers first through tenth to describe the positions of objects in a sequence.,absence assertion,AK.1.CC.2; AR.K.NPV.3; CO.PK.CC.D.8; FL.K.NSO.1.3; IN.1.NS.3; NY.K.CC.4.d; SD.PK.CD-4.i; VA.1.MG.3.h
COM-0003,COM,Compare small sets by matching.,Compare groups of objects by matching.,state codes only,CA.K.CC.6; FL.K.NSO.1.4; IA.PK.7.5.PS.3; TX.K.2G
COU-0001,COU,Say the numbers to 10 in the appropriate count sequence. (Megan-DONE),Say the numbers to 10 in the appropriate count sequence.,state codes only,MN.PK.M1.1; TX.K.2A
COU-0010,COU,Count and count out groups of more than 10 objects. (Megan-DONE),Count a group of more than 20 objects to tell how many objects are in the group.,state codes only,MN.1.3.5.1
COU-0012,COU,Count and count out groups of more than 10 objects. (Megan-DONE),Count out a group of more than 20 objects.,state codes only,VA.K.NS.2.b
COU-0024,COU,"Count forward and backward by 1s and 10s, from any number, to solve problems. (Katie)","Count forward and backward by 1s and 10s, from any number, to solve problems.",state codes only,AK.1.CC.3; AK.PK.34.12; AL.1.NBT.10.a; AL.K.FC.1; FL.1.NSO.1.1; ID.K.CC.A.2; KY.K.CC.1.b; MD.2.NOS.A.2.a; MD.PK.NOS.A.2; MN.PK.M1.14; ND.1.NO.CC.5; ND.K.NO.CC.2; NE.1.N.2.b; SD.K.CC.A.2; SD.PK.CD-4.g; TX.1.5A; TX.1.5C; VA.K.NS.1.f; WY.K.CC.1B
EST-0005,EST,Determine the relative size and position of numbers by using a mental number path or number line. (Megan—DONE),"Determine the relative size and position of numbers up to 1,000 by using mental number lines and knowledge of number relationships, including place value.",state codes only,FL.2.NSO.1.3; TX.2.2E; TX.2.2F; VA.2.NS.1.g
EST-0008,EST,Estimate a number of objects or a measurement by using benchmarks. (Megan-DONE),Estimate a number of objects or a measurement by using benchmarks.,state codes only,CA.2.NBT.7.1; MD.1.NOS.B.6; MD.2.NOS.A.5
FRA-0007,FRA,Identify and generate equivalent fractions.,Identify and generate equivalent fractions by using concrete objects.,state codes only,TX.3.3F; VA.2.NS.3.f
FRA-0008,FRA,Identify and generate equivalent fractions.,Identify and generate equivalent fractions by using area models.,state codes only,TX.3.3F; TX.3.3G; TX.4.3C; VA.2.NS.3.f
FRA-0009,FRA,Identify and generate equivalent fractions.,"Generate decimals that are equivalent to fractions, and generate fractions that are equivalent to decimals (limited to fractions equivalent to fourths or tenths with denominators 2, 4, 5, 8, 10, and 100).",state codes only,MO.5.NF.A.3; ND.5.NO.NF.1; NE.5.N.2.b; OK.4.N.3.9; OK.5.N.1.4
FRA-0013,FRA,Compare and order fractions.,"Compare and order fractions and decimals by using benchmarks, place value, or number lines.",state codes only,IN.5.NS.1; MO.5.NF.A.3; OK.4.N.3.9; OK.5.N.1.3; VA.4.NS.5.b; VA.5.NS.1.d
FRA-0017,FRA,"Find a fraction of a number, quantity, or set.",Find and represent a fraction of a set by using concrete objects.,state codes only,TX.3.3A
FRA-0018,FRA,"Find a fraction of a number, quantity, or set.",Find and represent a fraction of a set by using a tape diagram.,state codes only,TX.3.3A
MUL-0012,MUL,Fluently multiply and divide whole numbers.,Fluently multiply within 144.,state codes only,FL.4.NSO.2.1; MA.4.OA.A.3.a; MN.4.3.5.5; ND.5.AR.OA.1; OK.4.N.2.1; RI.4.OA.A.3.a; VA.4.CE.2.b
MUL-0013,MUL,Fluently multiply and divide whole numbers.,Fluently divide within 144.,state codes only,FL.4.NSO.2.1; MA.4.OA.A.3.a; MN.4.3.5.5; ND.5.AR.OA.1; OK.4.N.2.1; RI.4.OA.A.3.a; VA.4.CE.2.b
MUL-0017,MUL,Fluently multiply and divide whole numbers.,Express a composite number as the product of its prime factors.,state codes only,AZ.5.OA.B.4; CA.5.OA.2.1
SUB-0001,SUB,Determine how many objects are in a group of up to 5 objects without counting.,Determine how many objects are in a group of up to 5 objects without counting.,state codes only,MD.K.NOS.B.8; TX.K.2D; WI.K.CC.B.5
SUB-0002,SUB,Determine how many objects are in a group without counting by recognizing and composing smaller groups.,Determine how many objects are in a group without counting by recognizing and composing smaller groups.,state codes only,MD.K.NOS.B.8; ND.1.NO.CC.4; ND.K.NO.CC.4; NE.1.N.1.a; NE.2.N.1.a; NE.K.N.1.a; OK.K.N.1.4; SC.K.NR.2.2; TX.K.2D; WI.1.OA.C.5.b; WI.K.OA.A.3.b
TIM-0001,TIM,Describe and compare the durations of commonplace activities.,Describe and compare time intervals.,state codes only,IA.2.MD.C.IA.1; IA.PK.7.4.PS.6; IN.2.M.5; IN.K.M.2; KY.PK.1.4.4; KY.PK.1.4.5; SC.PK.MTE-5p; WI.PK.B.EL.5
TIM-0002,TIM,Describe and compare the durations of commonplace activities.,Order events in time and describe their positions.,state codes only,IA.2.MD.C.IA.1; IA.PK.7.4.PS.6; IN.2.M.5; IN.K.M.2; KY.PK.1.4.4; KY.PK.1.4.5; SC.PK.MTE-5p; WI.PK.B.EL.5
TIM-0004,TIM,Classify times as moments or durations and label both on a timeline,Classify times as moments in time or durations of time.,state codes only,AL.PK.MAT4aOP-4; GA.PK.CD-MA
TIM-0005,TIM,Classify times as moments or durations and label both on a timeline,Label the events of a day on a timeline.,no tags at all,
TIM-0006,TIM,Read and write moments to the nearest 5 minutes,Tell and write time to the nearest 5 minutes,no tags at all,
TIM-0007,TIM,Use a.m. and p.m.,Classify events by using a.m. or p.m.,no tags at all,
TIM-0013,TIM,Convert between time duration units.,Convert smaller units of time duration to larger units.,state codes only,FL.4.M.1.2; FL.4.M.2.1; GA.4.MDR.6.1; OK.4.GM.3.2; SC.5.MGSR.2.1; TX.4.8B; TX.4.8C
