lesson_id,grade,module,lesson,title,objectives,i_can,language_objectives,key_questions,big_idea,content_standards,content_standards_list,ad_codes,ad_texts,ad_full,laag
GK-M1-L1,K,1,1,Compare objects based on their attributes.,Compare objects based on their attributes.,I can compare things. I can tell how things are the same or different.,"Orally describe the attributes of objects. Orally describe similarities and differences between objects by using the phrases exactly the same, different, and the same, but.",What are some ways that things can be the same?,Sort and Describe Data,K.MD.B.3,"[""K.MD.B.3""]","[""K.Mod1.AD10""]","[""Sort objects into categories.""]",[K.Mod1.AD10] Sort objects into categories.,"In this lesson, students consider multiple attributes to compare objects. If all the attributes are the same, the objects are exactly the same. If some attributes are the same but some are different, students use the same but … to describe the similarities and differences. Attention to attributes is foundational to sorting throughout this topic."
GK-M1-L2,K,1,2,Classify objects into two categories.,Classify objects into two categories.,I can compare things. I can sort things.,Orally explain how objects are sorted into two groups by attribute.,What are some ways you can sort?,Sort and Describe Data,K.MD.B.3,"[""K.MD.B.3""]","[""K.Mod1.AD10""]","[""Sort objects into categories.""]",[K.Mod1.AD10] Sort objects into categories.,"Once students can compare objects based on a specific attribute, they can create groups of objects that share an attribute (classification). At first the groups are sorted by simple, obvious attributes like color. In this lesson, students choose a way to sort objects and use words to share how they sorted. This lesson introduces the term sort."
GK-M1-L3,K,1,3,Classify objects into two categories and count.,Classify objects into two categories and count.,I can sort things into two groups. I can count how many in each group.,Orally explain different ways to sort objects into two groups.,What can we do to count correctly?,Sort and Describe Data How Many?,K.CC.B.5; K.MD.B.3,"[""K.CC.B.5"", ""K.MD.B.3""]","[""K.Mod1.AD8"", ""K.Mod1.AD10""]","[""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration."", ""Sort objects into categories.""]","[K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration. [K.Mod1.AD10] Sort objects into categories.","In this lesson, students continue to classify objects into groups with a focus on challenging attributes. They also ask and answer a natural question after creating a group—How many are in the group? One-to-one correspondence and an understanding of cardinality are the subject of discussion and practice. This lesson formalizes the term count."
GK-M1-L4,K,1,4,Classify objects into three categories and count.,Classify objects into three categories and count.,I can sort things into three groups. I can count how many in each group.,Orally explain how objects are sorted into three groups. Orally count in standard order to tell how many objects are in each group.,What does it mean to sort into groups?,Sort and Describe Data How Many?,K.CC.A.1; K.MD.B.3,"[""K.CC.A.1"", ""K.MD.B.3""]","[""K.Mod1 AD1"", ""K.Mod1 AD10""]","[""Count to 10."", ""Sort objects into categories.""]",[K.Mod1 AD1] Count to 10. [K.Mod1 AD10] Sort objects into categories.,"After some experience with classification, students are able to sort into more than two groups. In this lesson, students sort into three groups and count the number of objects in each group. They also record their sort on paper, an early example of modeling with mathematics (SMP.4)."
GK-M1-L5,K,1,5,"Classify objects into three categories, count, and match to a numeral.","Classify objects into three categories, count, and match to a numeral.",I can sort and count things. I can find the matching number.,"Orally explain how objects are sorted into groups, and match a numeral to each group. Read numerals and associate each numeral with a quantity, expressed as lyrics in a counting song.",How can numbers help us?,Sort and Describe Data How Many?,K.CC.A.3; K.MD.B.3,"[""K.CC.A.3"", ""K.MD.B.3""]","[""K.Mod1.AD3"", ""K.Mod1.AD10""]","[""Represent a group of objects with a written numeral 0\u201310."", ""Sort objects into categories.""]",[K.Mod1.AD3] Represent a group of objects with a written numeral 0–10. [K.Mod1.AD10] Sort objects into categories.,"Students are exposed to written numerals during the first four lessons, but they are formally introduced in lesson 5. Students sing “I Can Count”, a song that may be familiar from prekindergarten, to name the numerals and associate each with a quantity. They continue to sort and count objects, now matching a numeral to each group. This lesson introduces the term number."
GK-M1-L6,K,1,6,"Organize, count, and represent a collection of objects.","Organize, count, and represent a collection of objects.",I can show how I count a group of things.,"With a partner, listen to and orally describe a strategy to count and record a collection of objects. Use terms such as sort, count, number, and strategies.","What are some strategies, or things we can do, to help us count?",How Many?,K.CC.A.1; K.CC.B.4.a; K.CC.B.4.b; K.CC.B.5,"[""K.CC.A.1"", ""K.CC.B.4.a"", ""K.CC.B.4.b"", ""K.CC.B.5""]","[""K.Mod1.AD1"", ""K.Mod1.AD4"", ""K.Mod1.AD5"", ""K.Mod1.AD8""]","[""Count to 10."", ""Say one number name with each object when counting up to 10 objects."", ""Use the last number of a count to tell how many regardless of arrangement or order counted."", ""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD1] Count to 10. [K.Mod1.AD4] Say one number name with each object when counting up to 10 objects. [K.Mod1.AD5] Use the last number of a count to tell how many regardless of arrangement or order counted. [K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","This lesson is an opportunity to gather formative assessment data as students use a counting collection to explore ways to count and represent a group of items. Students decide how to count, observe how others count, and discuss accurate counting • Count and bag collections (see strategies. This lesson introduces the term strategy. Materials section in the module resources)."
GK-M1-L7,K,1,7,Practice counting accurately.,Practice counting accurately.,I can count. I can match a number to show how many.,"Orally count to see if there are enough of something. Through partner games, practice counting orally and reading to match a numeral to a set of objects.",How do you know you have counted correctly?,How Many?,K.CC.A.3; K.CC.B.4.a; K.CC.B.4.b; K.CC.B.5,"[""K.CC.A.3"", ""K.CC.B.4.a"", ""K.CC.B.4.b"", ""K.CC.B.5""]","[""K.Mod1.AD3"", ""K.Mod1.AD4"", ""K.Mod1.AD5"", ""K.Mod1.AD8""]","[""Represent a group of objects with a written numeral 0\u201310."", ""Say one number name with each object when counting up to 10 objects."", ""Use the last number of a count to tell how many regardless of arrangement or order counted."", ""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD3] Represent a group of objects with a written numeral 0–10. [K.Mod1.AD4] Say one number name with each object when counting up to 10 objects. [K.Mod1.AD5] Use the last number of a count to tell how many regardless of arrangement or order counted. [K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","Young students need plenty of practice to integrate number core components and to count accurately. Throughout this module, students will consider reasons to count and use numbers. The games in this lesson provide counting practice and reinforce the idea that counting is both useful and fun. This lesson introduces the term enough."
GK-M1-L8,K,1,8,"Count sets in linear, array, and scattered configurations.","Count sets in linear, array, and scattered configurations.",I can use a strategy to count. I can match a number to show how many.,Orally explain strategies for counting in different configurations. Orally count and identify the number that tells how many in each set.,What strategies can you use to count correctly?,How Many?,K.CC.B.5,"[""K.CC.B.5""]","[""K.Mod1.AD8""]","[""Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.""]","[K.Mod1.AD8] Count to answer how many questions about as many as 10 things arranged in a line, a rectangular array, a circle, or a scattered configuration.","In this lesson, students explore ways to count pictures when objects are in linear, array, or scattered configurations. They use the touch and count strategy and learn an alternative strategy called mark and count for when objects cannot be moved. This lesson introduces the terms line and notice."
GK-M1-L9,K,1,9,Conserve number regardless of the arrangement of objects.,Conserve number regardless of the arrangement of objects.,"I can count things. I can match a number to show how many. When I move things, I dont need to count them again.","Orally count and tell how many are in the same set of objects, presented twice in different configurations. Read numerals and identify the numeral that tells how many in each set.",Do I have to count again when a group is moved?,How Many?,K.CC.B.4.b,"[""K.CC.B.4.b""]","[""K.Mod1.AD6""]","[""Say how many without recounting when objects are rearranged.""]",[K.Mod1.AD6] Say how many without recounting when objects are rearranged.,"In this lesson, students consider whether to recount a group of objects after they are moved. Repeated experiences of this type help students understand conservation, that the number of objects in a group stays the same regardless of their arrangement."
GK-M1-L10,K,1,10,Count out a group of objects to match a numeral.,Count out a group of objects to match a numeral.,I can count out a group of things to match a number.,Orally explain strategies for counting out a given amount of objects.,How can we remember when to stop counting?,How Many?,K.CC.B.5,"[""K.CC.B.5""]","[""K.Mod1.AD9""]","[""Count out a given number of 1\u201310 objects from a larger group.""]",[K.Mod1.AD9] Count out a given number of 1–10 objects from a larger group.,"Once students can count a group to answer a how many question, they are ready to create a group with a specific number of objects. In this lesson, students explore a new reason for counting: to create a group of a specific size."
GK-M1-L11,K,1,11,Write numerals 1–3 to answer how many questions.,Write numerals 1–3 to answer how many questions.,"I can write 1, 2, or 3 to show how many.","Write the numerals 1, 2, and 3 and identify missing numbers in an oral and written sequence up to 3. Read to identify numerals and orally explain why people write numerals.",Why do we write numbers?,How Many?,K.CC.A.3,"[""K.CC.A.3""]","[""K.Mod1.AD2""]","[""Write numbers from 0 to 10.""]",[K.Mod1.AD2] Write numbers from 0 to 10.,"Students consider why people write numerals as they learn to write 1, 2, and 3. In this lesson, students count spoken words, something they cannot see or touch, and represent the number of words by writing a numeral."
GK-M1-L12,K,1,12,Write numerals 4 and 5 to answer how many questions.,Write numerals 4 and 5 to answer how many questions.,I can write 4 or 5 to show how many.,Write the numerals 4 and 5 and identify missing numbers in an oral and written sequence up to 5. Read to identify numerals in the environment and orally describe them.,Why do we write numbers?,How Many?,K.CC.A.1; K.CC.A.3,"[""K.CC.A.1"", ""K.CC.A.3""]","[""K.Mod1.AD1"", ""K.Mod1.AD2""]","[""Count to 10."", ""Write numbers from 0 to 10.""]",[K.Mod1.AD1] Count to 10. [K.Mod1.AD2] Write numbers from 0 to 10.,Students continue to explore reasons for writing numerals as they learn the formations for 4 and 5.
GK-M1-L13,K,1,13,Count out enough objects and write the numeral.,Count out enough objects and write the numeral.,I can count out enough. I can write a number to show how many.,Orally describe strategies to determine if there are enough of something.,How did you know you counted out enough?,How Many?,K.CC.B.4.a; K.CC.B.4.b,"[""K.CC.B.4.a"", ""K.CC.B.4.b""]","[""K.Mod1.AD4"", ""K.Mod1.AD5""]","[""Say one number name with each object when counting up to 10 objects."", ""Use the last number of a count to tell how many regardless of arrangement or order counted.""]",[K.Mod1.AD4] Say one number name with each object when counting up to 10 objects. [K.Mod1.AD5] Use the last number of a count to tell how many regardless of arrangement or order counted.,In this lesson students think about the concept of enough and use it to see whether they have correctly counted out a group. Students pass out plates and serve pretend food to reason about making sure they have enough.
GK-M1-L14,K,1,14,Understand the meaning of zero and write the numeral.,Understand the meaning of zero and write the numeral.,I can explain what zero means. I can write 0 and other numbers to show how many.,Write numerals including zero and orally describe the meaning of zero. Listen to a count and orally state the missing number.,What does zero mean?,How Many?,K.CC.A.3,"[""K.CC.A.3""]","[""K.Mod1.AD2"", ""K.Mod1.AD3""]","[""Write numbers from 0 to 10."", ""Represent a group of objects with a written numeral 0\u201310.""]",[K.Mod1.AD2] Write numbers from 0 to 10. [K.Mod1.AD3] Represent a group of objects with a written numeral 0–10.,Students learn to use zero to describe a group with no objects. They watch a video that shows taking away one object at a time until there are no objects left and use beans to model what they see. Students also learn to write the numeral 0.
GK-M1-L15,K,1,15,Sort the same group of objects in more than one way and count.,Sort the same group of objects in more than one way and count.,I can sort in different ways. I know the number of things stays the same even if the sort changes.,"Listen to and orally describe strategies for sorting by attribute (including color and size), and explain how to show the totals and parts. Orally compare and connect each sort to a number sentence.",Does sorting the same group a different way change the number of objects?,Sort and Describe Data How Many?,K.MD.B.3,"[""K.MD.B.3""]","[""K.Mod1.AD10""]","[""Sort objects into categories.""]",[K.Mod1.AD10] Sort objects into categories.,"Students count to find the total number of objects in a set and then sort the set into groups. They express the relationship between the total and the groups (or parts) by using a number sentence, such as 5 is 4 and 1. Students sort their set of objects more than once, by using a different attribute each time. This lesson introduces the phrase number sentence."
GK-M1-L16,K,1,16,Decompose a set shown in a picture.,Decompose a set shown in a picture.,I can sort in different ways. I can write numbers about my sort.,Orally describe objects in a picture to classify them into two groups. Draw and write to represent an addition problem with both addends unknown.,What are ways to break a set into groups? How can we make a number sentence to match a group?,Sort and Describe Data How Many?,K.MD.B.3,"[""K.MD.B.3""]","[""K.Mod1.AD10""]","[""Sort objects into categories.""]",[K.Mod1.AD10] Sort objects into categories.,Students sort objects in pictures by selecting an attribute and describing how many objects fit into each group. This is a new layer of abstraction as students cannot move the objects into groups. It focuses attention on the numbers in preparation for the part–total work in module 4.
