state,grade,level,standard_id,standard_text,lesson_id,lesson_title,ref_type,is_flagged,raw_ref,source_file
ccss,1,domain,1.G,Geometry,,,,,,Connecticut grade 1 Alignment Guide.docx
ccss,1,cluster,1.G.A,Reason with shapes and their attributes.,,,,,,Connecticut grade 1 Alignment Guide.docx
ccss,1,standard,1.G.A.3,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",G1-M6-L10,Reason about equal and not equal shares.,lesson,FALSE,1 M6 Lesson 10: Reason about equal and not equal shares.,Connecticut grade 1 Alignment Guide.docx
ccss,1,standard,1.G.A.3,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",G1-M6-L11,Name equal shares as halves or fourths.,lesson,FALSE,1 M6 Lesson 11: Name equal shares as halves or fourths.,Connecticut grade 1 Alignment Guide.docx
ccss,1,standard,1.G.A.3,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",G1-M6-L12,"Partition shapes into halves, fourths, and quarters.",lesson,FALSE,"1 M6 Lesson 12: Partition shapes into halves, fourths, and quarters.",Connecticut grade 1 Alignment Guide.docx
ccss,1,standard,1.G.A.3,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",G1-M6-L13,Relate the number of equal shares to the size of the shares.,lesson,FALSE,1 M6 Lesson 13: Relate the number of equal shares to the size of the shares.,Connecticut grade 1 Alignment Guide.docx
ccss,1,domain,1.MD,Measurement and Data,,,,,,Connecticut grade 1 Alignment Guide.docx
ccss,1,domain,1.MD,Measurement and Data,,,,,,Connecticut grade 1 Alignment Guide.docx
ccss,1,domain,1.MD,Measurement and Data,,,,,,Connecticut grade 1 Alignment Guide.docx
ccss,1,cluster,1.MD.A,Measure lengths indirectly and by iterating length units.,,,,,,Connecticut grade 1 Alignment Guide.docx
ccss,1,standard,1.MD.A.1,Order three objects by length; compare the lengths of two objects indirectly by using a third object.,G1-M4-L5,Measure and compare lengths.,lesson,FALSE,1 M4 Lesson 5: Measure and compare lengths.,Connecticut grade 1 Alignment Guide.docx
ccss,1,standard,1.MD.A.1,Order three objects by length; compare the lengths of two objects indirectly by using a third object.,G1-M4-L6,Measure and order lengths.,lesson,FALSE,1 M4 Lesson 6: Measure and order lengths.,Connecticut grade 1 Alignment Guide.docx
ccss,1,standard,1.MD.A.2,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.",G1-M4-L10,Compare to find how much longer.,lesson,FALSE,1 M4 Lesson 10: Compare to find how much longer.,Connecticut grade 1 Alignment Guide.docx
ccss,1,standard,1.MD.A.2,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.",G1-M4-L11,Compare to find how much shorter.,lesson,FALSE,1 M4 Lesson 11: Compare to find how much shorter.,Connecticut grade 1 Alignment Guide.docx
ccss,1,standard,1.MD.A.2,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.",G1-M4-L14,Measure to find patterns.,lesson,FALSE,1 M4 Lesson 14: Measure to find patterns.,Connecticut grade 1 Alignment Guide.docx
