category,stem,stem_2,stem_3,stem_4,stem_5,stem_6,stem_7,stem_8
Data: Data displays,PK-5 | Measurement and Data | Data,,,,,,,
"Money: Identification, value",PK-5 | Number Systems and Structures | Counting,PK-5 | Number Systems and Structures | Whole Numbers and Base Ten Structure,,,,,,
Counting: Counting backwards,PK-5 | Number Systems and Structures | Counting,,,,,,,
Patterns,"PK-5 | Structure, Pattern, and Reasoning | Structure, Pattern, and Reasoning",,,,,,,
Probability,6-9 | Probability and Statistics | Probability,,,,,,,
Geometry: Shape attributes and properties,"PK-5 | Shape and Space | Identify, Define, and Classify 2D and 3D Shapes",,,,,,,
Data: Summaries and statistics,6-9 | Probability and Statistics | Univariate Data,6-9 | Probability and Statistics | Statistical Variability,6-9 | Probability and Statistics | Quantitative Data,6-9 | Probability and Statistics | Qualitative Data,,,,
Data: Sampling and bias,6-9 | Probability and Statistics | Univariate Data,6-9 | Probability and Statistics | Statistical Variability,6-9 | Probability and Statistics | Quantitative Data,6-9 | Probability and Statistics | Qualitative Data,,,,
Ratios Proportions: Proportional relationships,"6-9 | Ratios and Proportional Relationships | Ratios, Rates, and Proportions",,,,,,,
Functions: Representations,6-9 | Functions | General,,,,,,,
Data: Questions and data collection,6-9 | Probability and Statistics | Univariate Data,6-9 | Probability and Statistics | Statistical Variability,6-9 | Probability and Statistics | Quantitative Data,6-9 | Probability and Statistics | Qualitative Data,,,,
"Number System: Representations, equivalence",6-9 | Structure of the Number System | Integers and Rationals,6-9 | Structure of the Number System | Irrational Real Numbers,,,,,,
Place Value: Comparison,PK-5 | Number Systems and Structures | Comparing and Ordering,,,,,,,
Data: Sorting,PK-5 | Measurement and Data | Data,,,,,,,
Time and Calendar: Sequencing,PK-5 | Measurement and Data | Time,,,,,,,
Counting: Ordinal numbers,PK-5 | Number Systems and Structures | Comparing and Ordering,,,,,,,
"Measurement: Measuring, Tools",PK-5 | Measurement and Data | Length,,,,,,,
Measurement: Comparison,PK-5 | Number Systems and Structures | Comparing and Ordering,PK-5 | Measurement and Data | Data,,,,,,
Data: Use data,PK-5 | Measurement and Data | Data,,,,,,,
Counting: Skip-counting,PK-5 | Number Systems and Structures | Counting,,,,,,,
Counting: Subitizing and visual estimation,PK-5 | Number Systems and Structures | Subitizations,,,,,,,
Time and Calendar: Calendar,PK-5 | Measurement and Data | Time,,,,,,,
Measurement: Measuring (includes solving problems),PK-5 | Number Systems and Structures | Counting,PK-5 | Number Systems and Structures | Whole Numbers and Base Ten Structure,PK-5 | Operations and Equations | Expressions and Equations,PK-5 | Operations and Equations | Multiplication and Division of Fractions,PK-5 | Operations and Equations | Multiplication and Division of Whole Numbers,,,
Time and Calendar: Elapsed time,PK-5 | Measurement and Data | Time,,,,,,,
Ratios Proportions: Percents,6-9 | Ratios and Proportional Relationships | Percents,,,,,,,
Expressions Equations Inequalities: Expressions,6-9 | Expressions and Equations | General Expressions,PK-5 | Measurement and Data | Perimeter,,,,,,
"Functions: Definition, terminology",6-9 | Functions | General,,,,,,,
Expressions Equations Inequalities: Equations and Inequalities,6-9 | Expressions and Equations | Exponential Equations,6-9 | Expressions and Equations | Quadratic Equations,6-9 | Expressions and Equations | Polynomial Expressions,6-9 | Expressions and Equations | Two-variable Linear Inequalities,6-9 | Expressions and Equations | Two-variable Linear Equations,6-9 | Expressions and Equations | One-variable Equations (deg = 1),6-9 | Expressions and Equations | One-variable Inequalities (deg = 1),
Time and Calendar: Tell time,PK-5 | Measurement and Data | Time,,,,,,,
Counting: Counting forward,PK-5 | Number Systems and Structures | Counting,,,,,,,
"Operations (Whole Numbers): Multiplication, division",PK-5 | Operations and Equations | Multiplication and Division of Whole Numbers,,,,,,,
Operations (Whole Numbers): Mixed operations,PK-5 | Operations and Equations | Multiplication and Division of Whole Numbers,PK-5 | Operations and Equations | Addition and Subtraction,,,,,,
Money: Solve problems,PK-5 | Operations and Equations | Expressions and Equations,PK-5 | Operations and Equations | Multiplication and Division of Fractions,PK-5 | Operations and Equations | Multiplication and Division of Whole Numbers,,,,,
Place Value: Representation,PK-5 | Number Systems and Structures | Whole Numbers and Base Ten Structure,,,,,,,
"Operations (Whole Numbers and Decimals): Multiplication, division",PK-5 | Operations and Equations | Multiplication and Division of Fractions,,,,,,,
"Operations (Whole Numbers): Addition, subtraction",PK-5 | Operations and Equations | Addition and Subtraction,,,,,,,
Money: Count collection,PK-5 | Number Systems and Structures | Counting,PK-5 | Number Systems and Structures | Whole Numbers and Base Ten Structure,,,,,,
Geometric Measurement,6-9 | Geometry and Measurement | Area,6-9 | Geometry and Measurement | Volume,PK-5 | Measurement and Data | Length,PK-5 | Measurement and Data | Perimeter,PK-5 | Measurement and Data | Area,PK-5 | Measurement and Data | Volume,,
Geometry: Lines and angles,PK-5 | Measurement and Data | Angles,6-9 | Geometry and Measurement | Constructions,,,,,,
Expressions Equations Inequalities: Order of Operations,6-9 | Expressions and Equations | General Expressions,,,,,,,
"Measurement: Equivalence, conversion",PK-5 | Operations and Equations | Multiplication and Division of Whole Numbers,,,,,,,
"Number System: Computation, rational numbers and integers",6-9 | Structure of the Number System | Integers and Rationals,,,,,,,
Time and Calendar: Tools,PK-5 | Measurement and Data | Time,,,,,,,
"Counting: Subitizing, visual estimation",PK-5 | Number Systems and Structures | Subitizations,,,,,,,
"Fractions and Decimals: Concepts, Representations",PK-5 | Number Systems and Structures | Fractions,,,,,,,
Functions: Properties of Functions,6-9 | Functions | General,,,,,,,
Geometry: Spatial orientation,PK-5 | Shape and Space | Spatial Thinking,,,,,,,
Geometry: Symmetry,6-9 | Geometry and Measurement | Congruence,6-9 | Geometry and Measurement | Similarity,6-9 | Geometry and Measurement | Constructions,,,,,
Fractions and Decimals: Comparison,PK-5 | Number Systems and Structures | Fractions,,,,,,,
Fractions and Decimals: Fraction Operations,PK-5 | Operations and Equations | Multiplication and Division of Fractions,PK-5 | Operations and Equations | Addition and Subtraction,,,,,,
Ratios Proportions: Slope,"6-9 | Ratios and Proportional Relationships | Ratios, Rates, and Proportions",6-9 | Ratios and Proportional Relationships | Coordinate System,,,,,,
Ratios Proportions: Parallel and Perpendicular Lines,"6-9 | Ratios and Proportional Relationships | Ratios, Rates, and Proportions",6-9 | Ratios and Proportional Relationships | Coordinate System,,,,,,
Time and Calendar: General terminology,PK-5 | Measurement and Data | Time,,,,,,,
Expressions Equations Inequalities: Systems of Linear Equations,6-9 | Expressions and Equations | Systems of Equations,,,,,,,
Time and Calendar: Unit Relationships,PK-5 | Measurement and Data | Time,,,,,,,
Fractions and Decimals: Fraction-Decimal Equivalencies,PK-5 | Number Systems and Structures | Fractions,,,,,,,
Number System: Comparison,6-9 | Structure of the Number System | Integers and Rationals,6-9 | Structure of the Number System | Irrational Real Numbers,,,,,,
Operations (Whole Numbers): Order of Operations,PK-5 | Operations and Equations | Expressions and Equations,,,,,,,
Fractions and Decimals: Equivalence,PK-5 | Number Systems and Structures | Fractions,,,,,,,
"Fractions: Concepts, Representations",PK-5 | Number Systems and Structures | Fractions,,,,,,,
Operations (Whole numbers and Decimals): mixed operations,PK-5 | Operations and Equations | Addition and Subtraction,PK-5 | Operations and Equations | Multiplication and Division of Fractions,,,,,,
"Measurement: Measure, estimate",PK-5 | Measurement and Data | Length,,,,,,,
Geometry: Transformations,6-9 | Geometry and Measurement | Constructions,,,,,,,
Geometry: Congruence and similarity,6-9 | Geometry and Measurement | Congruence,6-9 | Geometry and Measurement | Similarity,,,,,,
Ratios Proportions: Problem solving,"6-9 | Ratios and Proportional Relationships | Ratios, Rates, and Proportions",6-9 | Ratios and Proportional Relationships | Percents,,,,,,
"Ratios Proportions: Unit rate, constant of proportionality","6-9 | Ratios and Proportional Relationships | Ratios, Rates, and Proportions",,,,,,,
Expressions Equations Inequalities: Algebraic Expressions and Equations,6-9 | Expressions and Equations | General Expressions,6-9 | Expressions and Equations | Exponential Equations,6-9 | Expressions and Equations | Quadratic Equations,6-9 | Expressions and Equations | Polynomial Expressions,6-9 | Expressions and Equations | Two-variable Linear Inequalities,6-9 | Expressions and Equations | Two-variable Linear Equations,6-9 | Expressions and Equations | One-variable Equations (deg = 1),6-9 | Expressions and Equations | One-variable Inequalities (deg = 1)
Functions: Sequences,6-9 | Functions | Sequences,,,,,,,
Place Value: Rounding,PK-5 | Number Systems and Structures | Whole Numbers and Base Ten Structure,,,,,,,
"Operations (Whole Numbers and Decimals): Addition, subtraction",PK-5 | Operations and Equations | Addition and Subtraction,,,,,,,
Ratios Proportions: Rate of change,"6-9 | Ratios and Proportional Relationships | Ratios, Rates, and Proportions",6-9 | Ratios and Proportional Relationships | Coordinate System,,,,,,
Geometry: Scale drawings,6-9 | Geometry and Measurement | Similarity,,,,,,,
Measurement: Non-standard units,PK-5 | Number Systems and Structures | Counting,PK-5 | Number Systems and Structures | Whole Numbers and Base Ten Structure,,,,,,
"Number System: Computation, radicals",6-9 | Structure of the Number System | Irrational Real Numbers,,,,,,,
Geometry: coordinate geometry,6-9 | Ratios and Proportional Relationships | Coordinate System,,,,,,,
"Counting: Before, after",PK-5 | Number Systems and Structures | Counting,,,,,,,
Counting: Use numerals,PK-5 | Number Systems and Structures | Counting,,,,,,,
