stem_id,band,stem_group,masterlist_name,workbook_sheet,workbook_stem,ladder_file,ladder_drafted
MD_LENGTH,PK5,Measurement and Data,Length,Measurement and Data,Length,,0
MD_PERIMETER,PK5,Measurement and Data,Perimeter,Measurement and Data,Perimeter,,0
MD_AREA,PK5,Measurement and Data,Area,Measurement and Data,Area,,0
MD_VOLUME,PK5,Measurement and Data,Volume,Measurement and Data,Volume,,0
MD_ANGLES,PK5,Measurement and Data,Angles,Measurement and Data,Angles,MH2_PK5_Measurement_and_Data_Angles.docx,1
MD_TIME,PK5,Measurement and Data,Time,Measurement and Data,Time,MH2_PK5_Measurement_and_Data_Time.docx,1
MD_DATA,PK5,Measurement and Data,Data,Measurement and Data,Data,,0
NSS_COUNTING,PK5,Number Systems and Structures,Counting,Number Systems and Structures,Counting,MH2_PK5_Numbers_Systems_and_Structures_Counting.docx,1
NSS_SUBITIZATION,PK5,Number Systems and Structures,Subitizations,Number Systems and Structures,Subitization,MH2_PK5_Numbers_Systems_and_Structures_Subitization.docx,1
NSS_COM,PK5,Number Systems and Structures,Comparing and Ordering,Number Systems and Structures,Comparing,MH2_PK5_NumberSystemsandStructures_ComparingandOrdering_LessonLadder.docx,1
NSS_ORD,PK5,Number Systems and Structures,Comparing and Ordering,Number Systems and Structures,Ordering,MH2_PK5_NumberSystemsandStructures_ComparingandOrdering_LessonLadder.docx,1
NSS_ESTIMATING,PK5,Number Systems and Structures,Estimating,Number Systems and Structures,Estimating,MH2_PK5_NumberSystemsandStructures_Estimating.docx,1
NSS_FRACTIONS,PK5,Number Systems and Structures,Fractions,Number Systems and Structures,Fractions,MH2_PK5_NumberSystemsandStructures_Fractions__5_.docx,1
NSS_WNBT,PK5,Number Systems and Structures,Whole Numbers and Base Ten Structure,Number Systems and Structures,"Whole Numbers and 
Base Ten Structure",MH2_PK5_NumberSystemsandStructures_Whole_Numbers_and_Base_Ten_Structure.docx,1
OE_ADDSUB,PK5,Operations and Equations,Addition and Subtraction,Operations and Equations,Addition and Subtraction,MH2_PK5_OperationsAndEquations_AdditionAndSubtraction,0
OE_MULDIV_WHOLE,PK5,Operations and Equations,Multiplication and Division of Whole Numbers,Operations and Equations,Multiplication and Division (Whole Numbers),MH2_PK5_OperationsAndEquations_MultiplicationAndDivisionWholeNumbers_LessonLadder.docx,1
OE_MULDIV_FRAC,PK5,Operations and Equations,Multiplication and Division of Fractions,Operations and Equations,Multiplication and Division (Fractions),,0
OE_EXPREQ,PK5,Operations and Equations,Expressions and Equations,Operations and Equations,Expressions and Equations,,0
SS_IDCLASSIFY,PK5,Shape and Space,"Identify,  Define, and Classify 2D and 3D Shapes",Shapes and Space,"Identify, define, parts, and classify 2D and 3D shapes",,0
